Picture #,Distance (cm),Line (cm),Line (pix)
1,25,28,1067
2,30,28,891
3,35,28,767
4,40,28,669
5,45,28,597
6,50,28,536
7,55,28,488
8,60,28,447
9,65,28,412
10,70,28,384
11,75,28,358
12,80,28,335
13,85,28,316
14,90,28,298
15,95,28,282
16,100,28,269
17,105,28,256
18,110,28,244
19,115,28,234
20,120,28,224
21,125,28,215
22,130,28,206
23,135,28,199
24,140,28,191
25,145,28,185
26,150,28,179
27,155,28,173
28,160,28,168
29,165,28,163
30,170,28,158
31,175,28,153
32,180,28,149
